"","10:10","10:25","10:40"
"nbr.val",702,856,863
"nbr.null",32,47,13
"nbr.na",0,0,0
"min",-1.21750258752793,-1.35035810346735,-7.04499891081991
"max",2.81879184029488,1.18175054775487,7.56553612439106
"range",4.03629442782281,2.53210865122222,14.610535035211
"sum",5.67728094115908,4.46288218822763,-155.16991463782
"median",0,0,-0.144939231428509
"mean",0.0080872947879759,0.00521364741615377,-0.179802913832932
"SE.mean",0.012706623099544,0.0115247142142574,0.0536371636662961
"CI.mean.0.95",0.0249475975123667,0.0226200456497314,0.105274725390365
"var",0.113343705956894,0.113693096288581,2.48280381648043
"std.dev",0.336665569901191,0.33718406885347,1.57569153595506
"coef.var",41.6289474697697,64.6733547436965,-8.76343715663671
